,Semiconductivity Related Products,Semiconductivity Upstream Products,Semiconductivity Downstream Products
Global,0.0091062002626294,0.0059546750387913,0.0031515252238376
Austria,-0.0024948447950606,-0.0013002482114187,-0.0011945965836417
Belgium,0.0062088355373643,-0.0020703053930603,0.0082791409304243
Bulgaria,0.0045786726609191,0.0007223606372293,0.0038563120236916
Cyprus,0.0009184057579418,0.0011022070021298,-0.0001838012441883
Czech Republic,0.0077384520348739,0.0069853388334037,0.0007531132014655
Germany,-0.0057405584544981,-0.0010920625641692,-0.0046484958903295
Denmark,-0.0029093801788572,0.0004109386802526,-0.0033203188591091
Estonia,-0.0021905548785374,-0.0011644391865509,-0.0010261156919849
Spain,-0.0023062879351338,-0.0007170012864572,-0.0015892866486766
Finland,0.0095566301747549,-0.0004549538048379,0.0100115839795924
France,-0.0041125629663291,0.0005287352555167,-0.0046412982218474
Greece,0.0164055406430501,0.0004749346418608,0.0159306060011876
Croatia,0.0292181352357616,-0.0003119881102995,0.0295301233460607
Hungary,0.1600944661764041,0.1627271426296703,-0.0026326764532648
Ireland,-0.00512072162119,0.0025877376407428,-0.0077084592619329
Italy,0.0124049704624973,-0.000961884910694,0.0133668553731924
Lithuania,0.0160643204812167,-0.0011393676989556,0.0172036881801718
Luxembourg,-0.004415208547473,-0.0021848480552842,-0.0022303604921891
Latvia,-0.0007558535832059,0.0004980511558325,-0.0012539047390385
Malta,-0.0030913276858109,0.0001752451470649,-0.0032665728328776
Netherlands,0.0195982213658678,-0.0009307871526144,0.0205290085184814
Poland,0.0135363810079147,0.0097200223824842,0.0038163586254322
Portugal,-0.0020451971305319,-0.0005388572226721,-0.0015063399078609
Romania,-0.0048221825085337,-0.0008994571724438,-0.0039227253360905
Sweden,-0.0100935174507638,-0.001673326532017,-0.0084201909187474
Slovenia,0.0015199922148487,0.000494063730134,0.0010259284847171
Slovakia,-0.0027890598672016,-0.0008681334951552,-0.0019209263720464
U.K. of Great Britain and Northern Ireland,-0.0053317210814478,-0.0019944459405168,-0.0033372751409327
United States of America,-0.0016784187768584,-0.0005904522951215,-0.0010879664817371
Japan,0.1226781143146387,0.1246299805215451,-0.0019518662069083
China,-0.0007679153934457,-0.0002795667520537,-0.0004883486413926
Canada,0.0018444547672091,-0.0004046981105018,0.0022491528777111
Republic of Korea,0.0425737223420319,0.0441164032998355,-0.001542680957804
Brazil,-0.0002076758904175,0.0009067043124568,-0.0011143802028741
India,0.0023886614064765,0.0014380206509188,0.000950640755557
Mexico,0.0007361334795021,7.161205909245183e-05,0.0006645214204092
Russian Federation,0.0476521904647975,-0.0001718498077674,0.0478240402725642
Australia,0.0072999789971561,-0.000321248605955,0.0076212276031115
Switzerland,-0.0107169800742485,-0.0021135332880284,-0.0086034467862196
Turkey,0.0295527057676556,-0.0002386319800113,0.029791337747667
Taiwan,-0.0027179812199236,-0.0017864532600367,-0.0009315279598876
Norway,0.0228034581762699,-0.0011718231786311,0.0239752813549014
Indonesia,0.0430510609218728,0.0434518120989722,-0.0004007511770983
South Africa,0.0025196400190428,-0.0002163224510611,0.0027359624701039
