Country,Industry,Carbon_emission
AUT,A01,1461.041
AUT,A02,82.66
AUT,A03,0.07200000000000001
AUT,B,808.323
AUT,C10-C12,966.0600000000001
AUT,C13-C15,50.042
AUT,C16,271.742
AUT,C17,1741.212
AUT,C18,12.125
AUT,C19,2713.4990000000003
AUT,C20,2239.328
AUT,C21,4.2010000000000005
AUT,C22,24.136
AUT,C23,4906.951
AUT,C24,12515.39
AUT,C25,130.088
AUT,C26,39.149
AUT,C27,72.766
AUT,C28,153.195
AUT,C29,32.584
AUT,C30,5.678
AUT,C31_C32,38.434
AUT,C33,24.476
AUT,D35,6581.551
AUT,E36,103.113
AUT,E37-E39,115.807
AUT,F,1730.1480000000001
AUT,G45,75.168
AUT,G46,258.885
AUT,G47,216.858
AUT,H49,1739.045
AUT,H50,79.97800000000001
AUT,H51,2677.694
AUT,H52,61.412
AUT,H53,17.529
AUT,I,215.108
AUT,J58,24.184
AUT,J59_J60,27.906
AUT,J61,7.547000000000001
AUT,J62_J63,17.397000000000002
AUT,K64,23.053
AUT,K65,10.873000000000001
AUT,K66,16.922
AUT,L68,1.919
AUT,M69_M70,40.1
AUT,M71,13.834
AUT,M72,4.327
AUT,M73,10.635
AUT,M74_M75,22.026
AUT,N,118.407
AUT,O84,162.69
AUT,P85,414.308
AUT,Q,151.144
AUT,R_S,275.99
AUT,T,0.0
AUT,U,0.0
AUT,FC_HH,13816.164
BEL,A01,1971.2060000000001
BEL,A02,79.485
BEL,A03,148.12800000000001
BEL,B,612.695
BEL,C10-C12,2415.039
BEL,C13-C15,226.619
BEL,C16,45.126
BEL,C17,374.226
BEL,C18,249.21
BEL,C19,6153.152
BEL,C20,9024.862000000001
BEL,C21,184.476
BEL,C22,69.496
BEL,C23,7824.909000000001
BEL,C24,5593.32
BEL,C25,179.561
BEL,C26,40.351
BEL,C27,52.012
BEL,C28,121.84
BEL,C29,73.054
BEL,C30,27.302
BEL,C31_C32,72.894
BEL,C33,118.965
BEL,D35,15714.691
BEL,E36,30.927
BEL,E37-E39,544.321
BEL,F,2275.605
BEL,G45,237.082
BEL,G46,989.487
BEL,G47,737.318
BEL,H49,3113.552
BEL,H50,492.469
BEL,H51,4633.124
BEL,H52,1093.545
BEL,H53,80.743
BEL,I,579.034
BEL,J58,83.92
BEL,J59_J60,51.35
BEL,J61,38.869
BEL,J62_J63,147.63400000000001
BEL,K64,92.58200000000001
BEL,K65,34.234
BEL,K66,179.925
BEL,L68,152.749
BEL,M69_M70,570.362
BEL,M71,211.642
BEL,M72,123.61500000000001
BEL,M73,38.735
